Season,Competition,Date,Club
02/03,Liga Portugal,10/07/2002,Sporting CP
02/03,Liga Portugal,10/07/2002,Sporting CP
02/03,Liga Portugal,10/26/2002,Sporting CP
02/03,Taca de Portugal Placard,11/24/2002,Sporting CP
02/03,Taca de Portugal Placard,12/18/2002,Sporting CP
03/04,Premier League,11/01/2003,Manchester United
03/04,FA Cup,2/14/2004,Manchester United
03/04,Premier League,3/20/2004,Manchester United
03/04,Premier League,04/10/2004,Manchester United
03/04,Premier League,5/15/2004,Manchester United
03/04,FA Cup,5/22/2004,Manchester United
04/05,Premier League,12/04/2004,Manchester United
04/05,FA Cup,1/19/2005,Manchester United
04/05,Premier League,1/22/2005,Manchester United
04/05,Premier League,02/01/2005,Manchester United
04/05,Premier League,02/01/2005,Manchester United
04/05,FA Cup,2/19/2005,Manchester United
04/05,FA Cup,03/12/2005,Manchester United
04/05,Premier League,3/19/2005,Manchester United
04/05,FA Cup,4/17/2005,Manchester United
05/06,UEFA Champions League Qualifying,08/09/2005,Manchester United
05/06,Premier League,10/29/2005,Manchester United
05/06,EFL Cup,11/30/2005,Manchester United
05/06,Premier League,12/31/2005,Manchester United
05/06,Premier League,12/31/2005,Manchester United
05/06,Premier League,02/04/2006,Manchester United
05/06,Premier League,02/04/2006,Manchester United
05/06,Premier League,02/11/2006,Manchester United
05/06,Premier League,02/11/2006,Manchester United
05/06,EFL Cup,2/26/2006,Manchester United
05/06,Premier League,03/06/2006,Manchester United
05/06,Premier League,05/07/2006,Manchester United
06/07,Premier League,8/20/2006,Manchester United
06/07,Premier League,9/23/2006,Manchester United
06/07,Premier League,10/28/2006,Manchester United
06/07,Premier League,11/04/2006,Manchester United
06/07,Premier League,11/29/2006,Manchester United
06/07,Premier League,12/09/2006,Manchester United
06/07,Premier League,12/23/2006,Manchester United
06/07,Premier League,12/23/2006,Manchester United
06/07,Premier League,12/26/2006,Manchester United
06/07,Premier League,12/26/2006,Manchester United
06/07,Premier League,12/30/2006,Manchester United
06/07,Premier League,12/30/2006,Manchester United
06/07,Premier League,1/13/2007,Manchester United
06/07,Premier League,1/31/2007,Manchester United
06/07,Premier League,02/03/2007,Manchester United
06/07,Premier League,2/24/2007,Manchester United
06/07,FA Cup,03/10/2007,Manchester United
06/07,FA Cup,3/19/2007,Manchester United
06/07,UEFA Champions League,04/10/2007,Manchester United
06/07,UEFA Champions League,04/10/2007,Manchester United
06/07,FA Cup,4/14/2007,Manchester United
06/07,UEFA Champions League,4/24/2007,Manchester United
06/07,Premier League,05/05/2007,Manchester United
07/08,UEFA Champions League,9/19/2007,Manchester United
07/08,Premier League,9/29/2007,Manchester United
07/08,Premier League,10/06/2007,Manchester United
07/08,Premier League,10/06/2007,Manchester United
07/08,UEFA Champions League,10/23/2007,Manchester United
07/08,UEFA Champions League,10/23/2007,Manchester United
07/08,Premier League,11/03/2007,Manchester United
07/08,UEFA Champions League,11/07/2007,Manchester United
07/08,Premier League,11/11/2007,Manchester United
07/08,Premier League,11/11/2007,Manchester United
07/08,UEFA Champions League,11/27/2007,Manchester United
07/08,Premier League,12/03/2007,Manchester United
07/08,Premier League,12/03/2007,Manchester United
07/08,Premier League,12/08/2007,Manchester United
07/08,Premier League,12/23/2007,Manchester United
07/08,Premier League,12/23/2007,Manchester United
07/08,Premier League,12/26/2007,Manchester United
07/08,Premier League,12/29/2007,Manchester United
07/08,FA Cup,01/05/2008,Manchester United
07/08,Premier League,01/12/2008,Manchester United
07/08,Premier League,01/12/2008,Manchester United
07/08,Premier League,01/12/2008,Manchester United
07/08,Premier League,1/19/2008,Manchester United
07/08,FA Cup,1/27/2008,Manchester United
07/08,FA Cup,1/27/2008,Manchester United
07/08,Premier League,1/30/2008,Manchester United
07/08,Premier League,1/30/2008,Manchester United
07/08,Premier League,2/23/2008,Manchester United
07/08,Premier League,2/23/2008,Manchester United
07/08,UEFA Champions League,03/04/2008,Manchester United
07/08,Premier League,3/15/2008,Manchester United
07/08,Premier League,3/19/2008,Manchester United
07/08,Premier League,3/19/2008,Manchester United
07/08,Premier League,3/23/2008,Manchester United
07/08,Premier League,3/29/2008,Manchester United
07/08,UEFA Champions League,04/01/2008,Manchester United
